date	time	id	user	action	table	field	key value	old value	new value
2013/02/19	21:18:32	/sispromers/login.php	aruiz	login	login				
2013/02/19	21:31:29	/sispromers/login.php	aruiz	login	login				
2013/02/19	23:39:07	/sispromers/logout.php	aruiz	logout	logout				
2013/02/19	23:39:23	/sispromers/login.php	rogeliom	login	login				
2013/02/19	23:41:52	/sispromers/logout.php	rogeliom	logout	logout				
2013/02/19	23:41:59	/sispromers/login.php	aruiz	login	login				
2013/02/19	23:47:40	/sispromers/logout.php	aruiz	logout	logout				
2013/02/19	23:47:46	/sispromers/login.php	davidl	login	login				
2013/02/19	23:49:25	/sispromers/logout.php	davidl	logout	logout				
2013/02/19	23:49:32	/sispromers/login.php	rogeliom	login	login				
2013/02/19	23:50:21	/sispromers/logout.php	rogeliom	logout	logout				
2013/02/19	23:50:26	/sispromers/login.php	aruiz	login	login				
